,Ratings,Comments
716,Rated 5 stars out of five stars,my favorite place to shop!
717,Rated 5 stars out of five stars,"Just signed up, but i think it made my first transaction easier."
718,Rated 5 stars out of five stars,love it!! so easy to use!!
720,Rated 4 stars out of five stars,The app seems to run smoothly. Very easy to use.
721,Rated 5 stars out of five stars,love how easy it is to use
722,Rated 5 stars out of five stars,Very user friendly! Great for wish listing!
723,Rated 5 stars out of five stars,I love it. easy to manage
724,Rated 4 stars out of five stars,"Macys app is easy to use & shopping at Macys online has been super convenient for me due to free shipping. Everytime i check Macys online store, i always find something i like & sometimes at the right price. I appreciate that they have discounts on some items quite often. I've been doing online shop...
Full Review"
725,Rated 5 stars out of five stars,good quality products....
726,Rated 5 stars out of five stars,One of the Easiest online shopping experiences
727,Rated 5 stars out of five stars,love Macy's and all the deals
728,Rated 5 stars out of five stars,"I have been a Macy's customer even before the app was available. The app has made shopping, bill payment, account monitoring and other related activities extremely easy. The in-store mode is an excellent tool especially when you're shopping at an unfamiliar location. I love this app."
729,Rated 5 stars out of five stars,"excellent price, excellent product"
730,Rated 5 stars out of five stars,This Macy's app has been super handy when taking a quick look to see if an item is available or remind me of my credit card balance before I get to my desktop. So glad this app is available.
731,Rated 5 stars out of five stars,i always shop online amd i love it
732,Rated 3 stars out of five stars,Pictures want show once I try to view..... Please help
733,Rated 5 stars out of five stars,easy to find whatever I search
734,Rated 4 stars out of five stars,pretty good. Does what it is supposed to do
735,Rated 3 stars out of five stars,"I loved this app until the most recent update. ever since I did the update when I click on a product there are no photos. I do a lot of shopping at Macy's and have always used my app to purchase products so this is a little frustrating. I give Macy's 5 stars, but this app only gets 3."
736,Rated 5 stars out of five stars,very good prices and quality
737,Rated 5 stars out of five stars,love the wallets small enough to fit on my crossbody handbag
738,Rated 5 stars out of five stars,had fun shopping there today. really cute tops
739,Rated 5 stars out of five stars,this is a great app. l just love it.
742,Rated 5 stars out of five stars,"great prices , enjoy your app"
743,Rated 5 stars out of five stars,"I love this Macy's App! It is ao easy use, and so convenient. Maybe a little too convenient? I am constantly ordering something! And I know what I get will always have great quality! Thank you!"
744,Rated 5 stars out of five stars,The app is very user friendly.
745,Rated 5 stars out of five stars,Macy's is great with their selection of items as well as the sales!
746,Rated 4 stars out of five stars,app ok but not finding it easy to shop on it 😒
747,Rated 5 stars out of five stars,Great app to buy at great prices.
750,Rated 5 stars out of five stars,love it very easy to use.
751,Rated 5 stars out of five stars,"easy to use, discounts are applied"
752,Rated 5 stars out of five stars,love this place great selection
754,Rated 5 stars out of five stars,lovely set great deals with screw backs
755,Rated 5 stars out of five stars,Love shopping on the Macy's App
756,Rated 4 stars out of five stars,Easy to use n pay your Macy's bill acct as well.
757,Rated 5 stars out of five stars,simple and easy to navigate thru the Macy site. quick and easy.
758,Rated 5 stars out of five stars,ENJOY THIS APPS LOOKING ALL THE TIME
759,Rated 5 stars out of five stars,Easy to use. Great accessibility.
760,Rated 3 stars out of five stars,I love Macy's in Clayton Missouri
763,Rated 5 stars out of five stars,I love how easy it is to navigate through this app.
764,Rated 3 stars out of five stars,"this app was amazing, but about 2 days ago the app not working well, you do not look at the pictures well, and when you go to check the items in your basket, you can not see the photos of what you chose, please fix the problem."
767,Rated 5 stars out of five stars,good prices quality stuff.
768,Rated 5 stars out of five stars,always have what i need.
769,Rated 5 stars out of five stars,Love the convenience of using this app
770,Rated 5 stars out of five stars,easy to shop online and pick up in the store.
771,Rated 5 stars out of five stars,Great access to account info and shopping!
773,Rated 4 stars out of five stars,I bought a dress on line and ehe I received the dress it was totally different from what I saw on line.
775,Rated 5 stars out of five stars,Great prices and good quality.
776,Rated 3 stars out of five stars,Image doesn't show up for some items
777,Rated 4 stars out of five stars,Good for paying my bill.
778,Rated 5 stars out of five stars,user Friendly always find what I want to buy 👍🏻👍🏻
779,Rated 5 stars out of five stars,"easy to maneuver fantastic app. great service, super quick delivery, and communication is excellent. love shopping on app more than at the store!"
780,Rated 3 stars out of five stars,"filters don't narrow enough, back button takes you all the way to beginning of search rather than last viewed, each color of a product is listed as a separate product"
781,Rated 4 stars out of five stars,Great graphics & photos to see the details on clothes & shoes. Maneuvering back to where you left off from shopping...not as seamless as it should be. at least it seems to me.
782,Rated 4 stars out of five stars,love having everything in one place
784,Rated 4 stars out of five stars,"Use it all of,the,time"
785,Rated 5 stars out of five stars,it easy to shop from this app .
786,Rated 5 stars out of five stars,easy to use. great app.
787,Rated 5 stars out of five stars,it's easier than going to the store when you can't get there
788,Rated 5 stars out of five stars,"love it! A ""homebodys"" dream hahaha"
789,Rated 5 stars out of five stars,love it! great for shopping!
790,Rated 5 stars out of five stars,"good app, turns you into a shopping addict"
791,Rated 5 stars out of five stars,"I Love Macy's !!! You Can Fine Aewsome Gifts For Friends And Family ! Great Deals, And They Are Always Welling To Help ! Thanks Macey's For Being A Great Place To Shop ! Such Great Verity ! Always Great Products And Great Prices ! 💟"
792,Rated 5 stars out of five stars,I love this app because it is well organized.
795,Rated 5 stars out of five stars,"Great App, and a satisfied customer"
796,Rated 5 stars out of five stars,Every thing was of good qaulity
797,Rated 5 stars out of five stars,great app. Awesome deals. perfection
798,Rated 5 stars out of five stars,so easy to use - love the my wallet feature
799,Rated 3 stars out of five stars,I got sure just open the app
800,Rated 5 stars out of five stars,I dont ever stop shopping here I love it
801,Rated 5 stars out of five stars,"HELLO, REMEMBER THE GOODOLD DAYS TRUE TRUSIVER THE PERFECT MODEL SENSITIVETY SENSITIVE NO OFFENDING. NO TRESSPASSING. TREATY FAIR AGREEMENTS.CIRCUMSTANCES MAY CHANGE FOR THE BETTER. I WISH YOU WERE NOT ANGRY. A LARGE CUP OF HOT TEA OR COFFEE MADE TO SOOTH YOU. MUSICAL ARRANGEMENTS THERE ARE SO SO MA...
Full Review"
802,Rated 5 stars out of five stars,Easy to navigate the site.
803,Rated 5 stars out of five stars,I always find what I'm looking for
804,Rated 5 stars out of five stars,"very good never missed orders,always on time"
805,Rated 5 stars out of five stars,"very easy to shop, I like it very much."
807,Rated 5 stars out of five stars,Yes it works for this old lady.
808,Rated 5 stars out of five stars,great app to get quality clothes and shoes
809,Rated 5 stars out of five stars,Great app and extremely convenient.
810,Rated 5 stars out of five stars,pretty good app. eases the shopping experience. ive used the in store feature as well and as long as i had good connectivity it worked ok.
811,Rated 5 stars out of five stars,easy to maneuver. great app!
813,Rated 5 stars out of five stars,I am a loyal Macy's shopper but this app takes it to a whole new level - it makes smartphone shopping super easy -- something I generally don't enjoy. Filter / Sort is as useful on the app as it is on a laptop; shoe shopping is a breeze.
814,Rated 5 stars out of five stars,wonderful way to shop.
815,Rated 5 stars out of five stars,love it! I can find everything I need
816,Rated 5 stars out of five stars,"already a member of macy app, regularly shop online have good return policy anf exchange sales always on going variety of products. good customer service helpful tips honest 24/7 online shopping trustworthy believable simple design modern clear freindly"
818,Rated 5 stars out of five stars,great experience i love Macy's
819,Rated 5 stars out of five stars,User friendly and easy to navigate website.
820,Rated 3 stars out of five stars,it's impossible to look at the pictures in the app.
821,Rated 5 stars out of five stars,I enjoy it very easy to use
822,Rated 4 stars out of five stars,great experience; few stall outs or shut downs
823,Rated 5 stars out of five stars,Love It...Especially being Overseas working...Everything arrives Fast and in PERFECT CONDITION 🤗🤗🤗🙌🏽🙌🏽🙌🏽
824,Rated 4 stars out of five stars,my experience I would say is good
826,Rated 4 stars out of five stars,I can find everything what I need
827,Rated 5 stars out of five stars,This is better than my computer search as an app. Not only that I get the latest sales and i love that. I grew up with Macy's and miss Rich's their competition but I still believe in the Quality of Macy's.
829,Rated 5 stars out of five stars,wonderful place to shop.. great sales people
830,Rated 3 stars out of five stars,Doesn't load pictures and I can't add anything to my list. Tried to use the fix suggested by Macy's and it didn't work. I have the latest update and it did not fix any bugs as claimed. Please update again soon.
831,Rated 5 stars out of five stars,get everything I wanna do at the store
832,Rated 5 stars out of five stars,"Great app, love it!"
833,Rated 5 stars out of five stars,easy to use and to keep up the orders.
834,Rated 5 stars out of five stars,My experience have been great.
835,Rated 5 stars out of five stars,Macy's online shopping website is working well for me. I myself shopping either in the store or online. my experience is wonderful. they help you out with no problems in returns or just asking a question. store is kept up nicely and workers are so nice and pleasant.
836,Rated 5 stars out of five stars,i love this app. It's very convenient.
837,Rated 5 stars out of five stars,"Great app! Easy to shop and make credit card payments. Love the rewards and sale prices. Thank you, Macy's!"
840,Rated 5 stars out of five stars,excellent easy to use too
841,Rated 5 stars out of five stars,it's easy to use and enjoy shopping
842,Rated 5 stars out of five stars,easy to use. great features.
843,Rated 5 stars out of five stars,"easy access, fast and dependable"
845,Rated 5 stars out of five stars,"Easy to search, easy to shop"
846,Rated 5 stars out of five stars,Every shopping. experience is. Great. The best staff. ever so helpful. so professionable so courteous and. knowledgeable
847,Rated 5 stars out of five stars,Love doing the online shopping
848,Rated 5 stars out of five stars,fast and easy and dependable!😁👍😎
850,Rated 5 stars out of five stars,"Every time I want my perfumes or something new, I got on my Macy's app. I purchase from Macy's for the quality, you get what you pay for...I'm always going to be a Macy's client... Thank you Macy's!!!💜😊"
851,Rated 5 stars out of five stars,"my experience with Ma y,s has been great"
852,Rated 5 stars out of five stars,very good experience n happy 2 shop with macys
853,Rated 5 stars out of five stars,The app is a very convenient tool. The barcode for the order is accessible when you arrive. I am very pleased with it.
854,Rated 3 stars out of five stars,There has been frequent occurrences where the app forces stop or runs very slowly
855,Rated 5 stars out of five stars,love the Macys app! It's fast and simple to navigate. A great way to shop Macy's in store and on the go.
856,Rated 5 stars out of five stars,Comprehensive and versatile capabilities....
857,Rated 5 stars out of five stars,can get to do everything I need
858,Rated 5 stars out of five stars,Enjoy looking at app in my home.
859,Rated 5 stars out of five stars,"Makes Macys shopping even easier with a virtual digital wallet: pre-loaded payment and points that add up toward Macys Money and more discounts. Also, of course, this app is smart and pushes things i'd like to purchase. Shhhh! if my husband knew, he'd rate the app a 0! Hed say i dont need more incen...
Full Review"
860,Rated 5 stars out of five stars,Easy as ABC! - Delivery was faster than I anticipated. Pleasantly surprised and ecstatic about this since I needed by Friday. Today is Wed and I ordered on Mon. Hope this a regular occurrence.
861,Rated 5 stars out of five stars,"Love the app! I have been shopping with Macy's for decades. Love the mobile app, so easy to use."
862,Rated 3 stars out of five stars,app is slow. crashes often. difficult to navigate. my phone has slowed down since i d/l it. there's an update I'm installing now. hopefully it will help.
863,Rated 5 stars out of five stars,Great product. Nice sales.
864,Rated 5 stars out of five stars,great customer service .
865,Rated 5 stars out of five stars,It's an awesome app. I enjoy it very much
867,Rated 5 stars out of five stars,fast and easy to make my payments and check my balance. this is a good idea having an app where you can pay your and searchs what you need
868,Rated 5 stars out of five stars,love the app very user friendly.
869,Rated 5 stars out of five stars,very good experience woth the purchase i've made
870,Rated 5 stars out of five stars,My favorite place for me.
871,Rated 4 stars out of five stars,great to have at my finger tips
873,Rated 5 stars out of five stars,the easiest app to use love it !
874,Rated 5 stars out of five stars,makes shoe shopping really easy!!
875,Rated 5 stars out of five stars,Find great deals!!
876,Rated 3 stars out of five stars,I've had difficulty lately. Have had to shut down and start over during various attempts to place an order or browse.
877,Rated 5 stars out of five stars,wonderful always prompt and delivery is great. If there is an issue it's always taken care of quickly. love my Macy's
878,Rated 5 stars out of five stars,Love shopping Macy's with this app!
879,Rated 4 stars out of five stars,"Great app,easy and user friendly"
880,Rated 5 stars out of five stars,Wow. Everything at your fingertips
882,Rated 5 stars out of five stars,I haven't bought anything yet but I will soon
883,Rated 5 stars out of five stars,great app ..one stop activity
884,Rated 5 stars out of five stars,all options quick to the touch.
885,Rated 5 stars out of five stars,"fasr and easy layout, easy to use"
886,Rated 5 stars out of five stars,"Easy to find bargains, good selection of products. returns are easily done. I have no complaints."
888,Rated 5 stars out of five stars,"easy, lots to choose from."
889,Rated 5 stars out of five stars,Would appreciate if sales were automatically available in all stores. I am a Gold member.
891,Rated 4 stars out of five stars,Easy to use. Very convenient
892,Rated 5 stars out of five stars,Macy's always good!
893,Rated 5 stars out of five stars,"I absolutely love Macy's but we dont have a store in my city, however, the app delivers every product right to my front door!!!"
894,Rated 5 stars out of five stars,I love this app. I can keep an eye on my jeans. Then I buy when they go on sale. I also find things online before I see them in the store. I have the items shipped to me. You can have them shipped to the store if you wanted.
896,Rated 5 stars out of five stars,easy to use! love the sales
897,Rated 5 stars out of five stars,love love love Macy's!
898,Rated 5 stars out of five stars,Easy to use...Love it!!!
902,Rated 5 stars out of five stars,very user friendly super quick to find product
904,Rated 3 stars out of five stars,"app is great , easy to use"
905,Rated 3 stars out of five stars,"Good flow throughout the App while selecting and customizing your order but the only problem is that once you place your order, you can't edit or cancel your order."
906,Rated 5 stars out of five stars,I love it. tempting though
908,Rated 5 stars out of five stars,"I love the Macy's app! They know what I like and prefer, it saves time on browsing..."
909,Rated 5 stars out of five stars,best store in US...Love love love Macy's
910,Rated 3 stars out of five stars,pay and scan not working in northgate store #327
911,Rated 5 stars out of five stars,love Macy's always have the best deals
912,Rated 5 stars out of five stars,I love IT maxys. I love the app
914,Rated 5 stars out of five stars,Convenient and easy way to shop!
915,Rated 5 stars out of five stars,amazing on hand shopping!!
917,Rated 5 stars out of five stars,user friendly app..always up to date
919,Rated 5 stars out of five stars,works better than most retail store apps
920,Rated 5 stars out of five stars,macys usually carry exactly what I want!
921,Rated 5 stars out of five stars,love shopping for discount prices thank you
922,Rated 5 stars out of five stars,I actually think that is marvelous.
923,Rated 5 stars out of five stars,I shop at the Macy's that is in the Inland Center mall in San Bernardino. I am always impressed by the cleanliness and the customer service of the store.
924,Rated 5 stars out of five stars,easy navigation throughout
925,Rated 5 stars out of five stars,love the app! huge shopping improvement
926,Rated 5 stars out of five stars,Richard loves what I find for him. There are many unique items to find. Always a great place to shop and a real feel good time! 😘
927,Rated 5 stars out of five stars,my favorite app 1000% happy
928,Rated 4 stars out of five stars,"was nice , helping me with the details and I will be in touch when I get back from the store. thanks for your help and you are the best,at store I spent time with interested in that.customers also doing a good job with me and they are all in the same"
929,Rated 5 stars out of five stars,I love the fact that on my phone I got 25% off the computer only offered 20% off so I was really happy with my purchase and I saved money
931,Rated 5 stars out of five stars,excellent app easy to use .
932,Rated 5 stars out of five stars,"great app and you can find all the stuff you need on this one app, pay your bill and everything on this app it is such a very big help"
933,Rated 5 stars out of five stars,those flash sales are easy and convenient
934,Rated 5 stars out of five stars,such a nice variety of clothing love love love it love shopping near
936,Rated 5 stars out of five stars,When I am browsing the site it gives me great pleasure to see all the great styles and prices out there tor me.
938,Rated 5 stars out of five stars,Easy to navigate and find producrs and info I'm looking for.
939,Rated 4 stars out of five stars,So easy and convenient. Love it!
940,Rated 5 stars out of five stars,staff are so accomodating
941,Rated 5 stars out of five stars,Easy to navigate!
942,Rated 5 stars out of five stars,The friendly staff for shopping makes difficult choices a breeze!
943,Rated 5 stars out of five stars,easy to use. pretty basic.
944,Rated 5 stars out of five stars,Fast delivery & very convenient to order
945,Rated 5 stars out of five stars,love this app really easy to use
946,Rated 5 stars out of five stars,very easy to shop and lay online..
947,Rated 5 stars out of five stars,Alway Had An Easy Time with Macy's App.
948,Rated 5 stars out of five stars,It's really easy to find what you are looking for
949,Rated 4 stars out of five stars,it is easy to find my needs
950,Rated 3 stars out of five stars,"Most of the time the app is experiencing difficulties. By the time it's available again, the sale is over."
952,Rated 5 stars out of five stars,greatest place to shopping at macys
953,Rated 5 stars out of five stars,"excellent app, very helpful and easy to use it."
954,Rated 4 stars out of five stars,"I can find anything for my funtions, at a real good price. Just check my closet."
955,Rated 5 stars out of five stars,Great App for faster shopping from anywhere
956,Rated 5 stars out of five stars,I can always find what I'm looking for and some are compare prices and Macy's always usually has the better. the only that does annoy me is the coupons. They never work so I do get a little annoyed when I receive coupons.
957,Rated 3 stars out of five stars,love using the app but when it comes to the checkout process it is complicated for a person that is not computer literate.
959,Rated 5 stars out of five stars,ive been an avid shopper of Macys for many years. love the app easy breezy. Thank you Macy's.
960,Rated 5 stars out of five stars,awesome The products are great!
961,Rated 5 stars out of five stars,love getting my products from this everything is what it's supposed to be and I've never had a problem with what is delivered to me
963,Rated 5 stars out of five stars,The app works very well. I like being able to shop on it - - it's quick and easy to use wherever I happen to be.
964,Rated 4 stars out of five stars,it's good does everything i needed
965,Rated 5 stars out of five stars,easy way to shop!
966,Rated 5 stars out of five stars,I can shop easily.
968,Rated 5 stars out of five stars,I love the Macy's app.
970,Rated 3 stars out of five stars,Great app but crashes too often. I've reinstalled it twice now. It defeats the purpose if I have to go to the website anyway.
972,Rated 5 stars out of five stars,paying ur monthly payments options are amazing so much better not standing in line to make a payment. love it.
973,Rated 3 stars out of five stars,App has always worked fine until I updated today. Now pages won't load. Cleared cache. Cleared phone memory /storage etc. Closed app. Restarted phone. All other apps working fine. 😕
974,Rated 3 stars out of five stars,I always have problem signing in
976,Rated 5 stars out of five stars,I really ENJOY shopping at Macy's
977,Rated 5 stars out of five stars,"This app is very convenient in so many ways .. going to my acct - keeping track of my orders - my credit card , coupons , awards etc"
978,Rated 4 stars out of five stars,always satisfied with what I buy
980,Rated 5 stars out of five stars,they always have varieties of items to choose from to get the best their price is good and I get good customer service
981,Rated 3 stars out of five stars,online shopping is easy. no issues. however I have tried the in-store shopping feature more than once in more than one Macy's and it doesn't work. Freezes when I scan an item.
982,Rated 4 stars out of five stars,Just a few glitches on the app. I would write under search what I was looking for to narrow my search but everything under dinnerware would present itself.
983,Rated 5 stars out of five stars,I just love macy's. you can always get name brands in clothes. bed clothing last forever. shoes are awesome.. when I go to Macy's it feels so good just to be there. magic world.
984,Rated 5 stars out of five stars,always works and very user friendly
985,Rated 5 stars out of five stars,I love being able to shop electronically. I do have an issue getting to the final submit order button when I am trying to complete my order./ Update- Thank you for noticing because this issue has been corrected!
986,Rated 4 stars out of five stars,site was informational. I also appreciate the option to pick up in-store. 34th is a bad option tho. I selected them before and was not able to get my purchase. this was during the holiday time tho.
987,Rated 5 stars out of five stars,Easy and convenient..
988,Rated 5 stars out of five stars,very easy and so far so good
989,Rated 5 stars out of five stars,So easy to use and shop. Nothing to do with the app but my stuff always get shipped super fast.
990,Rated 5 stars out of five stars,Macy store staffs friendly and all kind of Designer Label you can get and excellent discounts !...Thank you Macy!
992,Rated 3 stars out of five stars,when clicking on an item picture doesnt show. not sure if an app problem...but doesnt happen with any other app
993,Rated 5 stars out of five stars,for the most of the time the app works good but lately its been acting up and it doesnt show the picture of the item
994,Rated 5 stars out of five stars,love it ..nice and easy
995,Rated 5 stars out of five stars,Always good for the most part
996,Rated 5 stars out of five stars,I love shopping here! beautifil beautiful clothes & shoes.
997,Rated 5 stars out of five stars,easy to use and dependable
998,Rated 5 stars out of five stars,perfect and easy to navigate
999,Rated 5 stars out of five stars,This app is great!
1000,Rated 5 stars out of five stars,Macy's is the best place ever
1001,Rated 4 stars out of five stars,the website would be better if you could enlarge the image. I don't use the app because of this. I use the website instead.
1002,Rated 4 stars out of five stars,lately its been good
1003,Rated 5 stars out of five stars,easy to maneuver and filter!
1004,Rated 5 stars out of five stars,its good to use..
1005,Rated 4 stars out of five stars,the problem I have had is scrolling down to see material content. sometimes it is below the line and wont allow me to scroll down.
1007,Rated 5 stars out of five stars,Its real easy to use by categoies
1008,Rated 5 stars out of five stars,I have great experience I give macys 100%
1009,Rated 5 stars out of five stars,very efficient and easy to use
1010,Rated 5 stars out of five stars,nice products
1011,Rated 5 stars out of five stars,love this App. Love the store and easy to use and awesome sales every day.
1012,Rated 5 stars out of five stars,great app everything at my fingertips you
1014,Rated 5 stars out of five stars,"Macys is my favorite place to shop. Quality merchendise, easy to check out with discounts available in the check out area. As a gold star member I also get free shipping."
1016,Rated 5 stars out of five stars,"App has much clearity, thanks"
1017,Rated 3 stars out of five stars,The Filter and Search features need some work big time.
1018,Rated 5 stars out of five stars,My favorite place to shop!!
1019,Rated 3 stars out of five stars,could not order online very disappointing
1020,Rated 5 stars out of five stars,2nd Edit: most recent update fixed issues that arose from the previous update. Works well again now back to 5 stars.
1021,Rated 3 stars out of five stars,can be slow sometimes but its good app
1022,Rated 5 stars out of five stars,"Shopping with this Macy's app couldn't be any easier! Shop, click, order DELIVERY!!! DELIGHT! Thank you Macy's!"
1023,Rated 5 stars out of five stars,love the convenience of online shopping and making payments on my account through the mobile app!
1024,Rated 4 stars out of five stars,easy to find what I am looking for
1027,Rated 5 stars out of five stars,very helpful at all times
1028,Rated 5 stars out of five stars,very comfortable & easy to use
1030,Rated 3 stars out of five stars,i love it. had to call macys to comolete my order. i am not sure if i will get my points or bonus towards the app purchase.
1031,Rated 5 stars out of five stars,items were quite easy to find
1032,Rated 4 stars out of five stars,This store is very clean and organized. The sale associates are helpful and freindly.
1034,Rated 5 stars out of five stars,I appreciate the ability to narrow down what I am looking for...including whether I can pick it up at my local store
1035,Rated 5 stars out of five stars,great app love it will keep using it
1036,Rated 5 stars out of five stars,I absolutely love this app 😍
1037,Rated 5 stars out of five stars,Excellent and easy to use
1038,Rated 5 stars out of five stars,This app is awesome
1041,Rated 5 stars out of five stars,Everything is one click away! I love the convenience of the selections at hand
1042,Rated 5 stars out of five stars,App easy to use and navigate
1043,Rated 5 stars out of five stars,I Love Macy's ads. & clothes
1044,Rated 5 stars out of five stars,Easy to use app.
1045,Rated 5 stars out of five stars,I get updates on my list of items when in sale. I can easily search for what I need. it us easy to find my size. Better selection than the local store
1046,Rated 5 stars out of five stars,easy to work with love it
1047,Rated 5 stars out of five stars,"love it, use it all the time!"
1048,Rated 5 stars out of five stars,"Love Macy*s, love this app!😊"
1049,Rated 5 stars out of five stars,"Fast, Easy, Enjoyable!"
1050,Rated 5 stars out of five stars,exactly as I expected. easy to navigate
1051,Rated 5 stars out of five stars,"Love, love love this app. all the great sales at my finest tips. Or I can order on line and pick up in the store. Awesome!"
1052,Rated 5 stars out of five stars,very friendly app with great promotions
1053,Rated 3 stars out of five stars,great but have trouble with star money
1054,Rated 5 stars out of five stars,Macy's has been my favorite store to shop and now I live in cody wy this app has been a life saver !!! Thanks so much for making it possible for people who doesn't have a Macy's close.
1055,Rated 5 stars out of five stars,Easy to use and navigate!
1056,Rated 5 stars out of five stars,The free shipping is the best. The price are unbelievable. Take 30% off.
1057,Rated 3 stars out of five stars,"The app isn't difficult to use, but it falsely states that you can see store purchases within the app. When I asked an agent, I was told that was never an option. Yet, it's clearly stated."
1058,Rated 5 stars out of five stars,I had a very good time with the online app. I neaver shop on line but this is easy.
1059,Rated 5 stars out of five stars,The sales associates are very helpful when asked about finding product.
1061,Rated 5 stars out of five stars,Use this app all the time to shop. l love it.
1063,Rated 5 stars out of five stars,The best retail app!
1064,Rated 4 stars out of five stars,Easy to navigate
1065,Rated 5 stars out of five stars,"good,thank you"
1068,Rated 5 stars out of five stars,very easy to use l love this app
1069,Rated 5 stars out of five stars,"my experience with Macy's is great. I never had a problem with ordering,returning, price adjustments or anything else and this is why I don't have a problem shopping online and in store."
1071,Rated 4 stars out of five stars,"I love shopping using the Macy's app ,my only problem with the app is that,when you click on an item in your list, and go back, it doesn't take you to where you left off, takes you to the very beginning of your list."
1072,Rated 5 stars out of five stars,Excellent app. I like when I put items on my list then get notifications when they go on sale. Thats why i give it 5 stars.
1073,Rated 5 stars out of five stars,Easy and convenient
1074,Rated 5 stars out of five stars,Easy and convenient
1075,Rated 5 stars out of five stars,I always get what I need with the Macy's app.Only downside is sometimes the prices online are higher than in Macy's stores. Also sometimes the items I buy aren't listed.Otherwise I would recommend this app.
1076,Rated 5 stars out of five stars,always a great experience
1077,Rated 3 stars out of five stars,Can not see all the items. It may say 750 items but only lets your scroll the first 50 or so.
1078,Rated 5 stars out of five stars,very good so far
1079,Rated 4 stars out of five stars,"Images of items on cart page don't populate. This is having a subtle, but noticable effect on my swagger."
1081,Rated 5 stars out of five stars,i didn't like the fact that i bought my son a coat for 130.00 and the next day it's 87.00 i feel like i got played!!!😡😡😡😡😡😡😡
1082,Rated 5 stars out of five stars,It has everything
1083,Rated 5 stars out of five stars,very helpful to shop on line.love it😘
1084,Rated 4 stars out of five stars,A great app works fine
1085,Rated 5 stars out of five stars,Always easy to find what Im looking for and purchases are easy. Great on line selections.
1086,Rated 5 stars out of five stars,"amazing, everything at my finger tips."
1087,Rated 5 stars out of five stars,"The app is really great, I can use when I'm shopping, scan merchandise, love Macy's."
1088,Rated 5 stars out of five stars,love it very convenient
1089,Rated 5 stars out of five stars,Very happy with all the different choices and selection easy shopping and delivery.
1090,Rated 5 stars out of five stars,"True Star Rewarding Quality. I enjoy the luxury and convenience of being informed of deals, order p/up reminders, coupons, and even the friendly compliments.Lol. Is even racist to check and pay on my billing."
1091,Rated 5 stars out of five stars,"Hi, Caromel is enjoying all of the benefits and sales Macy's has to offer. Thanks"
1092,Rated 5 stars out of five stars,Love It & Easy to use ❤
1093,Rated 5 stars out of five stars,macys make shopping online wonderful
1094,Rated 5 stars out of five stars,Nice and easy to use! Love it!
1095,Rated 5 stars out of five stars,always friendly cachiers and good deals
1096,Rated 4 stars out of five stars,i love this app. yes very good for deals.yes it gives me ideas for decoractions what to wear and shoe deals.
1097,Rated 4 stars out of five stars,easy but do not like when you have items in your cart and when you get ready to purchase they have to be removed if you're not buying all..Amazon saves for later purchase
1098,Rated 5 stars out of five stars,The app is quick and easy
1099,Rated 5 stars out of five stars,l enjoy shopping at Macy's
1100,Rated 5 stars out of five stars,I love this app
1101,Rated 5 stars out of five stars,Helps with work questions
1102,Rated 5 stars out of five stars,Great products for great prices and there is always a sale going on. plus a great return policy if you don't like what you bought.
1105,Rated 5 stars out of five stars,I love this app
1106,Rated 5 stars out of five stars,I love this app
1107,Rated 5 stars out of five stars,love to see what's on sale
1109,Rated 5 stars out of five stars,quick and easy!
1110,Rated 5 stars out of five stars,very easy to use
1111,Rated 5 stars out of five stars,Convenient and easy to use. I like how easy it is to find items and order. I also love the selection and quality of Macy's products.
1112,Rated 4 stars out of five stars,very handy and easy to use
1113,Rated 5 stars out of five stars,I love it. Everything about it!
1114,Rated 5 stars out of five stars,I received a prompt service from a diligent and experienced employee who assisted me in getting what I wanted in good time. Macy's has ever been my best choice for shopping.
1115,Rated 3 stars out of five stars,"I use the AP daily, but since the March update it has been useless. I can't see pictures of the items I scan in store or click to zoom in on."
1116,Rated 5 stars out of five stars,"I like the fact that if you don't have your receipt for some reason or another you can still access ur purchases by swiping your card, great feature I think all stores should have that because sometimes you may misplace your receipt 👍👍👍"
1117,Rated 4 stars out of five stars,Pretty easy with no big glitches
1118,Rated 5 stars out of five stars,s Simply love the app and the store
1119,Rated 5 stars out of five stars,I love the Macys App!!!!
1120,Rated 4 stars out of five stars,"It took me a while to get what I was looking for, but I was able to find two of the three items I wanted."
1121,Rated 5 stars out of five stars,love everything about Macy's
1122,Rated 5 stars out of five stars,love the app.
1123,Rated 5 stars out of five stars,"Love this app! Makes shopping, paying bills and sendung gifts a breeze!"
1124,Rated 5 stars out of five stars,"I love shopping at Macy's, I remember when Macy's was Famous Barr. When you walk into Macy's, you can smell the perfumes and they smell so good."
1125,Rated 5 stars out of five stars,Shopping and Payments plus order to deliver to your store Awesome!!!
1126,Rated 5 stars out of five stars,Easy to manuever thru this app.
1127,Rated 5 stars out of five stars,Easy to navigate through.
1128,Rated 5 stars out of five stars,"No problem! searching on the web...app is easy to use and 25% off so, download app!!"
1129,Rated 4 stars out of five stars,very good especial .
1130,Rated 4 stars out of five stars,it easy to use
1131,Rated 5 stars out of five stars,it's nice to pay my Bill's and track orders good. it's been no problem using the app.
1132,Rated 5 stars out of five stars,This app makes shopping easy
1133,Rated 5 stars out of five stars,i am not receiving emails
1134,Rated 5 stars out of five stars,quick and easy
1135,Rated 5 stars out of five stars,"I love Macy's and this app! Easy to shop, easy to pay my card off."
